prod_nbr,prod_nm,dept_cd,apparent_unit_cost
50131144,CLIPS 19 MM  COLORS STUK,9,21.063
50131172,PAQUETE ADHE 2 HOJAS  COLORS STUK,9,17.451
50131312,TIJERAS 6IN P COSTURA FORJADAS EN ACERO,9,0.021
50131353,FURIA BLANCO 18KG B20411,9,2512.713
50131422,TIJERAS ESSENTIALS SOFT NEON,9,26.208
50131444,SET NOTAS ADHESIVAS LOTSO MOOVING,9,99.162
50131445,CLIP JUMBO LOTSO MOOVING,9,89.922
50131448,IMANES LOTSO 4 PIEZAS MOOVING,9,133.749
50131449,WASHI TAPE LOTSO 3 PZ DISENOS MOOVING,9,92.232
50131598,PERFORADORA  3 ORIFICIOS  USO RUDO,9,961.548
50131599,PERFORADORA G EN FORMA DE PETALO,9,120.813
50131600,CLIPS MOOVING,9,59.367
50131601,SCOTCH BRITE FIBRA CER RAYAS NARANJAJA G,9,53.214
50131602,SCOTCH BRITE FIBRA CERO RAYAS AZUL G,9,53.214
50131603,SCOTCH BRITE FIBRA CERO RAYAS ROSA,9,53.193
50131605,SCOTCH BRITE ESPONJA BORRAMANCHAS,9,63.588
50131606,SCOTCH BRITE FIBRA EXTREMA,9,47.418
50131607,SCOTCH BRITE FIBRA ESPONJA GRANDE,9,48.237
50131693,SUJETADOCUMENTOS STITCH 25MM 6 PZ MOOVIN,9,79.947
50131695,CLIPS FIGURAS STITCH 4 PZ MOOVING,9,69.951
50131696,SET NOTAS ADHESIVAS STITCH MOOVING,9,85.932
50131697,CINTA WASHI STITCH 1.5CMX3M 3 PZ MOOVING,9,79.947
50131698,SET BANDERITAS ADHESIVAS STITCH MOOVING,9,47.964
50131700,IMANES MARCADORES STITCH 3 PZ MOOVING,9,49.959
50131701,CLIPS CON FORMA STITCH 5 PZ MOOVING,9,69.951
50131702,CLIP JUMBO STITCH 1 PZ MOOVING,9,77.931
50131703,BLOCK DE NOTAS CON IMAN STICH MOOVING,9,179.865
50131709,CINTA WASHI STICKERS STITCH MOOVING,9,43.974
50131710,PINES STITCH 2 PZ MOOVING,9,173.859
50131711,IMANES STITCH 3 PZ MOOVING,9,57.96
50131713,BANDERITAS FORMA STITCH DESP MOOVING,9,67.956
50131851,MASA PEGAJOSA  ELMERS 2 PZS,9,65.898
50131852,MASA PEGAJOSA  ELMERS AZUL 1.5 LIBRAS,9,325.332
50132071,NOTAS ADHESIVAS SS 2X2 6PADS 45HJS C/U,9,116.55
50132072,NOTAS ADHESIVAS MIAMIA 8PK 2X2 90HJS C/U,9,163.17
50132073,NOTAS ADH WAND RAYAS 4X6 4PADS 90HJS C/U,9,271.95
50132076,PIZARRA AUTOADHESIVA POST IT .23X.23 MT,9,271.95
50132078,PRITT TRIPACK 11GR MAS 1 FUN COLOR VERDE,9,68.187
50132079,PRITT TRIPACK 11GR MAS 1 GLITTER ROSA,9,68.187
50132080,PRITT TWOPACK 20GR COLORES ROSA Y VERDE,9,54.201
50132144,SUJETA DOCUMENTOS GRANDE 51MM (2) 12 PZ,9,65.1
50132145,DESPACHADOR DE CINTA NEXTEP 19MM (3/4),9,62.496
50132147,DESENGRAPADOR NEXTEP,9,14.7
50132273,SILICON LIQUIDO BASE AGUA 60ML,9,37.422
50132309,MY FIRST 4 PZ LAPIZ ADHESIVO 36 8G,9,125.307
50132310,TICO NEGRO 4 PZ LAPIZ ADHESIVO 36 8G,9,86.583
50132758,SET ACCESORIOS OFICINA ACCO UVA 242 PZ,9,158.655
50132759,BARRAS SILICON GLITTER BARRILITO 12 PZ,9,66.486
50132765,KOLA LOKA LADY 5GR C/MINI LAMPARA SECADO,9,118.776
50133130,PERFORADORA BARRILITO CORAZON 1 PULGADA,9,120.813
50133131,TIJERAS BARRILITO GREKAS ZIG ZAG 5 PULG,9,50.421
50133132,TIJERAS BARRILITO GREKAS CURVAS 5 PULG,9,50.421
50133134,TIJERAS COCINA ACERO INOX BARRILITO,9,283.773
50134101,GRAPAS 1/4 CORONA 10.7 MM P/ET 50 TRUPER,9,89.565
50134102,GRAPAS 3/8 CORONA 11.3 MM P/ET 21 TRUPER,9,80.304
50134103,GRAPAS 1/2 CORONA 10.7 MM P/ET 50 TRUPER,9,129.696
50134114,PERFORADORA PEGASO 300 TRIPLE P30 HOJAS,9,2358.846
50134324,PINES COLORES ACCO CABEZA PLASTICO 100PZ,9,117.369
50134600,CINTA WASHI 4PZ CAPIBARA,9,54.41143151
50134606,KIT ENGRAPADORA 50 GRAPAS CONSTELACIONES,9,75.873
50134607,CINTA WASHI 4 PZ CONSTELACIONES,9,34.75545324
50134608,CLIPS PARA CARPETA 12 PZ CONSTELACIONES,9,22.113
50134609,IMANES 6 PZ CONSTELACIONES,9,36.6675043
50134610,DESPACHADOR CINTA ADHESIV ROSA CONSTELA,9,41.07744275
50134611,NOTAS ADHESIVAS ROSA MORAD 200H CONSTELA,9,28.43406052
50134612,TIJERAS ROSAS CONSTALACIONES,9,32.88080812
50134613,TIJERAS LILA CONSTALACIONES,9,32.87964474
50134614,SET DE ACCESORIOS DE OFICINA,9,77.133
50134615,CLIP GIGANTE DORADO CONSTELACIONES,9,28.434
50134616,NOTAS ADHESIVAS ROSA 50H CU CONSTELACION,9,53.72248636
50134712,PINZA PERFORADORA GBC,9,601.44
50134717,QUITAGRAPAS USO PESADO SR103,9,280.98
50134965,BROCHE LATONADO TIPO ALEMAN 15MM,9,50.4
50134966,BROCHE LATONADO TIPO ALEMAN 25MM,9,60.795
50135037,CLIPS 4 PIEZAS SNOOPY MOOVING,9,78.666
50135038,SET BANDERITAS SNOOPY MOOVING,9,58.737
50135039,SET NOTAS ADHESIVAS SNOOPY MOOVING,9,88.62
50135040,MARCAPAGINAS MEGNETICO SNOOPY MOOVING,9,58.737
50135074,BLINDER CLIPS 25MM 6PZ SNOOPY,9,88.62
50135077,WASHI TAPE SNOOPY 1.5CM 3PZ,9,88.62
50135484,PERFORADOR FIGURA PASCUA ESTRELLA 50MM,9,728.553
50136246,TIJERA OFICINA 152MM D6B,9,38.388
50137518,TIJERA PARA BORDAR 4IN PRETUL ACERO INOX,9,209.139
50012392,MARCADOR AZOR PIZARRON NG-RJ 2,10,63.18784078
50012947,CUADERNO PROF RY 100H ECOLOG,10,101.9819438
50012948,CUADERNO PROF RY 100H CLASICO,10,72.82905546
50012949,CUADERNO PROF C5 100H CLASICO,10,72.84589697
50012950,CUADERNO PROF C7 100H CLASICO,10,72.61271557
50012951,HOJAS CARPETA SCRIBE RAYA 100H,10,60.90617559
50012952,HOJAS P/CARP CT CLASIC C5 100H,10,60.23159931
50012953,HOJAS P/CARP CT CLASIC BC 100H,10,61.51454932
50012954,CUADERNO PROF BCO 100H CLASIC,10,73.00273556
50012962,HOJAS P/CARP CT CLASIC C7 100H,10,60.48833601
50012963,CUADERNO PROF C5 100H ECOLOG,10,100.20545
50012964,CUADERNO PROF C7 100H ECOLOG,10,100.5124295
50012978,CUADERNO ITAL PAU 50H CLASICO,10,33.56402524
50012979,BLOCK ENGO CARTA CLASI RY 80H,10,76.31335943
50012980,BLOCK ENGO CARTA CLAS BCO 80H,10,79.76839434
50012981,BLOCK ENGO CARTA CLASI C5 80H,10,76.84196554
50012982,BLOCK ENGO CARTA CLASI C7 80H,10,77.19444102
50012983,BLOCK ENGO ESQ CLASICO RY 50H,10,33.72374762
50012984,BLOCK ENGO ESQ CLASICO C5 50H,10,33.72768503
50012985,BLOCK ENGO ESQ CLASICO C7 50H,10,33.70758726
50013413,GOMA DE BORRAR SILCOTECHNIC 6P,10,44.47918027
50013416,GOMA DE BORRAR SILCOSOFTY 2PZS,10,26.54586453
50014685,COLORES STAEDTLER EST 12 PZAS,10,37.555875
50014688,PUNTILLAS 0.2MM HB MARS 12 PZ,10,337.0985199
50014693,LAPICERO PROFESIONAL DE 2MM,10,207.6667059
50014697,COLORES STAEDTLER 24 PZAS,10,91.917
50014817,BORRADOR STAEDTLER C/REPUESTO,10,129.9619195
50014819,MINAS STEADT MARSMICRO 2P 0.5,10,63.44925517
50014824,SACAPUNTAS MET & 2 GOMAS B40,10,61.93609859
50014829,SACAPUNTAS STAEDTLER DE PLASTI,10,38.63833607
50014839,GOMA D BORRAR PELIKAN BR40 C 2,10,22.22164991
50014842,GOMA M-20 2P PELIKAN,10,30.74891045
50014844,GOMA WS-30 2P PELIKAN,10,21.21692851
50014891,MARCADOR MAGISTRAL C/4 SURT/FI,10,83.39590761
50014896,MARCATEXTOS AMA VISION PLUS 12,10,191.4916282
50014898,MARCATEXTOS ROSA PZ VISION PLS,10,20.54030455
50014902,MARCADOR P/PIZ MAGISTRAL SURT,10,129.3378646
50014911,MARCADOR C/BORRADOR MAGISTRAL,10,112.3704467
50014915,MARCATEXTOS VISION PLUS VERDE,10,186.48
50014918,MARCADOR PERMAN MEGA SIZ 4PZAS,10,191.2812689
50014919,MARCATEXTOS SURTIDO VISION 4PZ,10,76.43396876
50015010,PLUMONES COLORES 12P PINCELIN,10,0.021
50015048,PUNTILLAS 0.5 HB TARJ WEAREVER,10,12.59965939
50015050,PUNTILLAS 0.7 HB TARJ WEAREVER,10,12.78357397
50015128,CORRECTOR LIQ RAPID P BIC 20 ML,10,40.9781889
50015143,BOLÍGRAFO BIC PTO MED NGRO 12,10,71.55990279
50015144,BOLIGRAFO 12P MED VERDE BIC,10,69.86321721
50015145,BOLIGRAFO BIC PTO MED AZ 12,10,66.62532291
50015146,BOLIGRAFO MEDIANO ROJ 12P BIC,10,74.37826229
50015147,BOLIGRAFO BIC MEDIANO SURTIDO,10,28.9113206
50015148,BOLIGRAFO 12P FINO AZUL BIC,10,70.9919741
50015149,BOLIGRAFO BIC PUNTO FINO NEGRO 12 pz,10,71.442
50015156,BOLIGRAFO 4COL 1P MED N/A/R/V,10,61.50500284
50015158,BOLIGRAFO SHIM COLO SURT 4PZ,10,34.90555645
50015163,"BOLÍGRAFO BIC CRISTAL DIAMANTE, PUNTO ME",10,66.318
50015190,BOLIGRAFO DIAM 12P FINO AZ BIC,10,68.0085
50015204,MARCADOR PERMANENTE BIC NEGRO,10,35.5384293
50015209,MARCADOR BIC P/PIZARRON BCO. S,10,115.9254936
50015215,COLORES BIC CONTE EVOL 12PZ,10,116.1829443
50015217,COLORES BIC CONTE EVOL 24 PZAS,10,185.9693964
50015220,LAPICERO SHIMMERS 0.7MM 3 PZ,10,27.1844235
50015288,REPUESTO PARKER P/PLUMA PTO FL,10,88.17450181
50015290,REPUESTO PARKER PLUMA NEGRO 8M,10,88.1854241
50015292,REPUESTO PARKER P/BOL STAND FI,10,81.89980749
50015293,REP PARKER P/BOL STAN MED NGRO,10,81.89998649
50015294,REPUESTO PARKER P/BOL STAN FIN,10,81.899977
50015295,REP PARKER P/BOL STAN MED AZL,10,81.9
50015297,TINTERO PARKER P/PLUMA FUENTE,10,146.9986022
50015351,MARCADOR PERM AZU P ESTERBROO,10,48.26073469
50015352,MARCADOR PERMANENTE ESTERBROOK ROJO,10,46.08940494
50015353,Marcador Perm Esterbrook Negro,10,47.78865927
50015356,MARC PERM ESTERBROOK 12P NEGRO,10,483.3229873
50015357,MARCADOR CERA ROJO TARJ MIRADO,10,22.75769792
50015361,MARCADOR ACUACOLOR ROJOBEROLPZ,10,13.377
50015362,MARCADOR ACUACOLOR NEGBEROLPZA,10,20.99983136
50015364,MARCADOR ACUACOLOR EST C/12,10,239.7851085
50015411,COLORES PRISMACOLOR SCHOLAR 12,10,130.8108959
50015412,COLORES PRISMACOLOR SCOLAR 24P,10,254.7493717
50015508,CRAYONES CRAYOLA 12PZAS,10,33.26652476
50015510,CRAYONES CRAYOLA 24 PZAS C SAC,10,65.35705111
50015528,CRAYONES CRAYOLA JUMBO 12 PZAS,10,64.80325043
50015529,CRAYONES CRAYOLA JUMBO 24 PZAS,10,124.2374891
50015530,CRAYONES CRAYOLA JUMBO BOTE 28,10,164.7798478
50015531,CRAYONES CRAYOLA 6 PZAS,10,16.73581894
50015539,PLUMONES CRAYOLA LAVABLES 8PZA,10,143.6016242
50015543,COLORES CRAYOLA 12 PZAS,10,104.1264912
50015544,COLORES CRAYOLA 24 PIEZAS,10,206.2811476
50015546,COLORES CRAYOLA 36 PIEZAS,10,314.9256254
50016003,CORRECTOR LIQ PAPER 20ML 1PZA,10,30.37036263
50016006,CORRECTOR PLUMA PAPER MATE 7ML,10,56.06216259
50017008,CUADERNO PROF C5 100H JBOOK,10,126.3835104
50017009,CUADERNO PROF C7 100H JBOOK,10,126.3267234
50017010,CUADERNO PROF RY 100H JBOOK,10,124.7833947
50017018,CUADERNO PROF BCO 100H JBOOK,10,123.9546988
50017574,GOMAS FACTIS BLISTER C/ 6 PZ,10,39.25291307
50019338,CORRECTOR LIQUIDO PLUMA ZEBRA,10,73.73710431
50019341,BOLIGRAFO Y LAPICERO ZEBRA 301,10,158.9189082
50019349,ROLLERBALL ZEBRA STICK MED NGR,10,76.00489706
50019350,BOLIGRAFO ZEBRA MED AZUL 2PZ,10,75.98712954
50019364,MARCADOR MICKIE EXT.FINO NEGRO,10,38.68542081
50019370,REPUESTO ZEBRA NEGRO 2 PIEZAS,10,62.10322165
50019434,BOLIGRAFO RSVP NEGRO 2P PENTEL,10,61.54344386
50019458,LAPICERO TECHNICK NGO 2P PENTE,10,127.3945982
50019461,LAPICERO TECHNICK RSA 2P PENTE,10,127.3285452
50019472,BORRADOR TIPO LAPIZ NGO RET PZ,10,49.85920498
50019476,REPUESTO P/BORRADOR 2BL PENTEL,10,52.7586306
50019477,PUNTILLAS 0.5MM HB SUPER HI 3P,10,63.54723149
50019478,PUNTILLAS 0.5MM 2H SUPER HI 3P,10,63.17690085
50019479,PUNTILLAS 0.5MM 2B SUPER HI 2P,10,45.25955215
50020558,MARCATEXTOS AMARILLO HI-LITER,10,18.354
50020987,CORRE2CTOR CINTA P BIC AZUL,10,68.922
50021208,BOLIGRAFO DIAMANTE GRIP N 3P,10,33.794
50021797,BOLIGRAFO GEL AZUL 2PZ PENTEL,10,112.602
50021807,PUNTILLAS 0.5MM H SUPER HI 3PZ,10,63.36606272
50021808,PUNTILLAS 0.7MM HB SUPER HI 3P,10,74.64617223
50022920,MARCADOR PERM FINO N SHARPIE .,10,22.70419298
50023104,MARCADOR PTO. FINO SIGNAL 5PZ,10,85.19548729
50023142,MARCADOR  MAGISTRAL DIDACTICO,10,33.94039736
50023228,MARCADOR BILLETES FALSOS 3PZ,10,79.88082998
50023351,REPUESTO P/ROLLER AZUL,10,98.01322222
50023352,REPUESTO BIC P ROLLERBALL NEGR,10,87.5955
50023355,CARTUCHO P/PLUMA FUENTE BIC NE,10,72.513
50023421,BOLIGRAFO ZEBRA F-301 1PZ,10,87.63457422
50023866,MARCATEXTOS VISION JUNIOR COL,10,41.17365831
50023875,MARCADOR PERMANENTE SIGNAL DUO,10,30.90514371
50024010,LAPIZ GRAFITO BIC CONTE VDE 4P,10,35.15301687
50024085,CUADERNO ITALIANO RAYAS 100H,10,67.3503861
50024087,CUADERNO ITAL C5 100H CLASICO,10,66.74326358
50024088,CUADERNO ITAL C7 100H CLASICO,10,67.65748197
50024090,CUADERNO FRAN RY 100H CLASICO,10,67.59768592
50024091,CUADE1NO FRAN C5 100H CLASICO,10,67.473
50024092,CUADERNO PROFESIONAL C7,10,67.86780133
50024099,CUADERNO COS DB FRA RY 96HCLA,10,73.03640748
50024100,CUADERNO COS FRAN CLAS C5 96H,10,77.03978125
50024101,CUADERNO COS DB FRA C7 96HCLA,10,74.15580463
50024572,BLOCK ENGO CARTA CLAS MIL 80H,10,83.90812684
50025024,FLAUTA YAMAHA DULCE ENTSOPRAN.,10,121.8
50025314,LIBRETA COLLE RY 100H UNIVERS,10,147.4804183
50025316,LIBRETA COLLE C7 100H UNIVERS,10,147.0657995
50025318,LIBRETA COLLE RY 200H UNIVERS,10,235.0266583
50025321,LIBRETA COLLE RY 200H UNIV DIV,10,255.557531
50025325,LIBRETA COLLE RY 400H UNIVERS,10,378.4316645
50025499,PILA AAA ENERGIZER MAX C/4,10,163.401
50027363,BLOCK ESP TAQ L CLASICO RY 80H,10,51.12768529
50027855,CUADERNO PROF DR 100H CLASICO,10,73.35949432
50029493,REPUESTOS METAL P BOL  T NGR B,10,61.74
50030281,BOLIGRAFO ERASER MATE NGO 2P,10,58.34790414
50030489,RESALTADOR VISION PLUS 12P AZ.,10,201.6
50030710,CUADERNO COS FRAN C5 100HKIDS.,10,63.756
50030711,CUADERNO COS FRAN C7 100HKIDS.,10,63.756
50031683,BOLIGRAFO EASYT RT FINO NGO 2P,10,57.99831168
50031706,PLUMA FUENTE VARSITY MED NEGRO,10,83.56582806
50031904,LAPIZ TRIANGULAR DUO TJ.3,10,34.87328761
50031920,MARCADOR SHARPIE AMA ACCENT C2,10,36.73813818
50032739,JUEGO DE PLUMAS CROMO BRILLANT,10,1759.863
50032937,BOLIGRAFO SHIMMERS C/10PZS,10,56.80269245
50032949,LAPIZ DE GRAFITO CONTE 8PZS,10,52.1726237
50032954,PLUMA CORRECTORA SHAKE SQUEE 1,10,50.44417352
50032962,PLUMONES LAVABLES CRAYOLA 20P,10,197.7430137
50032970,CRAYONES CRAYOLA TWISTABLES 12,10,120.3709477
50032993,GOMA STRIKE 20 CAJA C/20 PZS .,10,48.111
50032995,GOMA PELIKAN STRIKE 2 PIEZAS,10,31.164
50033696,MARCADOR SIGNALXTR RECARG NEGR,10,26.94829557
50033976,MARCADOR CERA DIXON NEGRO 2PZS,10,60.65161742
50033978,MARCADOR CERA BCO BLIS C/2 PZS,10,61.21177828
50034295,REPUESTO ROLLER SLIM TINTA NGR,10,106.113
50036134,GOMA FAC2IS S 20F P LAPIZ 3PZ,10,55.083
50036137,GOMA MILAN P LAPIZ 2 P,10,32.823
50036216,MARC NGR MAGISTRAL C BORRADOR,10,59.89758119
50036217,MARC MAGISTRAL ESTUCHE C8 SUR,10,201.4644189
50036270,MARCADOR MAGISTRAL COLSURT12P,10,329.722414
50036413,COLORES BORRABLES 20 PZAS,10,224.167005
50036458,CUADERNO PROF PAU 100H CLASIC,10,72.95641997
50036468,CUADERNO COS ITAL RY 100HKIDS.,10,63.756
50036469,CUADERNO COS ITAL C5 100HKIDS.,10,63.756
50036472,CUADERNO COS ITAL BC 100HKIDS.,10,63.756
50036487,CUAD ESP PROF TREND RY 200H 5.,10,12.11164706
50039894,MARCADOR SHARPIE PERMANENTE ME,10,32.86142626
50039996,CUADERNO PROF RY 100H FERRARI,10,135.5262215
50039997,CUADERNO PROF C5 100H FERRARI,10,135.1490754
50039998,CUADERNO PROF C7 100H FERRARI,10,135.2784227
50040123,MARCATEXTOS GRIP 5P COL SURT,10,86.92148236
50040124,MARCATEXTOS GRIP PZ AMA BIC,10,19.6880348
50040125,MARCADOR PERM GRIP COLORE 4PZ,10,79.98431343
50040126,"MARCADOR PERMANENTE CONGRIP NEGRO, BIC P",10,17.98052951
50040825,LIBRETA DB FRAN RY 96H ESTRELLA,10,55.02
50040902,ROLLO ADHES JANEL TRN 45CMX10M,10,124.7772392
50040903,MICA AUTOADHERIBLE (TRANSP45X20),10,232.869
50041201,SACAP PLAST MAPED ERGO CH 2 PZS,10,27.972
50041202,SACAPUNTAS PLAST ERGO DOBLEG,10,39.22124713
50041203,SACAP PLAST MAPED ELIPTICO,10,28.37242625
50041206,SACAP PLAST MAPED VIVO,10,22.1004
50041209,GOMA MAPED MINI SOFTY 6PZAS,10,44.72143725
50041324,CRAYON CRAY MINI TWISTABLES12,10,91.66412222
50041339,BOLIGRAFO ENERGEL 2P 0.5 N PEN,10,117.109298
50041340,BOLIGRAFO ENERGEL 0.5 N/R/A PE,10,163.7785179
50041341,BOLIGRAFO ENERGEL 0.7 N PEN 2PZS,10,121.2498
50041342,BOLIGRAFO ENERGEL 0.7 N/R/A PE,10,163.4436056
50041345,LAPICERO TECHNICK .5MM 4P PENT,10,242.2514301
50041351,BORRADOR TIPO LAPIZ CLS RET 4P,10,182.9115108
50041624,CUADERNO PROF RY 200H JBOOK 5M,10,256.6890358
50041665,COLORES CRAYOLA TRIANGULAR 12P,10,107.7971288
50041695,BLOCK ENGO ESQ CLASIC BCO 50H,10,33.820054
50041725,CUADERNO FRAN RY 100H JBOOK,10,83.55762017
50041726,CUADERNO FRAN C5 100H JBOOK,10,83.32944478
50041727,CUADERNO FRAN C7 100H JBOOK,10,83.67924444
50041829,LIBRETA DB FRAN C5 96H ESTRE,10,55.01987356
50041830,LIBRETA FRANCESA CUADRO GRANDE DURA BOOK,10,55.01508127
50042818,MARC AZOR DETECTOR DE BILLETES,10,34.62739289
50042836,CUADERNO FRAN BCO 100H CLASIC,10,68.72841407
50043845,MARCADOR PIZA B C/AROMA 4P AZU,10,113.19
50044125,CUADERNO FRAN KIUT RY 5MA 160H,10,216.3493127
50044975,CUADERNO RY10 72H MI PRIMER C.,10,109.3656985
50044976,CUADERNO C10A 50H MI PRIMER C.,10,109.1890689
50044977,CUADERNO C10B 72H MI PRIMER C,10,108.1785929
50045048,LAPICERO ZGRIP 0.5MM 3PZS,10,60.01806812
50045189,MARCADOR SIGNAL JUMBO NEGRO,10,60.53876057
50045196,CORRECTOR LIQUID PAPER 2 EN 1,10,71.56764295
50045212,COLORES TWISTABLES 12 PZAS,10,131.5906377
50045234,MARCADOR AQUARELO GLASS BLANCO,10,57.7898779
50045251,GOMA STICK UNIVERSAL,10,35.81461015
50045252,SACAPUNTAS MUNDO GLOBAL,10,62.32177561
50045614,LAPIZ GRAFITO BIC CONTE 12 PZA,10,69.88581404
50045802,LAPICERO GRAPH GEAR 0.5 1P,10,214.4094433
50046021,BOLIGRAFO BIC FINO ROJO C/12,10,70.21815741
50046299,COJIN LIMPIADOR,10,93.78928276
50046417,PLUMONCITOS LAVABLES 16P,10,181.7597069
50046690,PLUMON ACUARELO JR 12 PZS AZO.,10,73.91701107
50047102,CUADERNO FRAN RY 160H FERRA 5M,10,213.2030541
50047103,CUADERNO PROF C5 200H JBOOK 5M,10,263.0110262
50047104,CUADERNO PROF C7 200H JBOOK 5M,10,258.7279053
50047105,CUADERNO PROF MIX 200H JBOOK5M,10,221.886
50047106,CUADERNO PROF C5 200H FERRA 5M,10,277.1022921
50047807,BOL CROSS CENTURY MEDALIST 23K,10,1215.5535
50047816,BOL TECH NEGRO 2BOL 1PORTAMI,10,1251.486923
50048120,CARTUCHOS TINTA NEGRA 10P,10,55.78361695
50048121,CARTUCHOS TINTA AZUL 10P,10,55.90123734
50048204,MARCADOR SHARPIE TWIN AZU 12PZ,10,0.021
50048369,PLUMONES CRAYOLA DELGA LAV 12P,10,119.5510263
50048391,CORRECTOR PLUMA 7ML 1P,10,60.90201884
50048456,CUADERNO PROF RY 100H JBOOK RE,10,127.7949468
50048457,CUADERNO PROF RY 200H JBOOK RE,10,274.7804904
50048461,CUADERNO PROF RY 160H KIUT 5M,10,342.8352772
50048463,CUADERNO PROF RY 200H FERRA 5M,10,274.2489188
50048464,LAPICERA WACKY DOUBLE COL SURT,10,78.03979926
50048465,PLUMONES LAV MARKANA TWIST12P,10,80.37427837
50048492,COLORES GIGANTES TRIANG 12P,10,348.3703188
50048983,MARCADOR SHARPIE TWIN NG 12PZS,10,322.1428
50051727,MARCADOR CERA ROJO BLIS PZA,10,21.88285135
50051735,MARCADOR DE CERA,10,23.41881818
50051737,BOLIGRAFO ENERGEL AZUL,10,89.84198776
50051740,BOLIGRAFO ENERGEL NEGRO,10,88.80336457
50051746,LAPICERO MECANICO 0.7MM,10,214.0657765
50051830,CUADERNO PROF C7 100H JBOOK R,10,127.7136933
50051831,CUADERNO PROF MIX 200HJBOOKR5M,10,274.7535396
50051832,CUADERNO PROF C5 100H JBOOK R,10,129.8065538
50051833,BOLIGRAFO MINI F301 BLIS 1PZ,10,75.59475
50051849,CUADERNO PROF C7 200H FERRA 5M,10,273.1828666
50051850,COLORES NORMA SUPER HEX 12PZ,10,310.657434
50051893,MARCADOR PERM C/GRIP 6PZS OI:3708100312,10,111.7136215
50051896,MARCADORES PERM COL/PASTEL 6P.,10,111.9857136
50051902,CUADERNO MANUAL 20H MI PRIMER,10,111.363
50051905,CUADERNO CA 72H MI PRIMER CUA,10,108.2937048
50054073,CUADERNO FRANCES RY 100H FIVE,10,153.772431
50054727,LIBRETA ENG DB COLLE RY 320H4,10,318.6955663
50054802,LONCHERA WACKY,10,129.2223214
50054819,LAPIZ CHECA ROJO TRIAN 10 PZAS,10,125.307
50054945,CUADERNO DB PROF C7 160H FERR,10,334.0476289
50054946,CUADERNO FERRARI PROF RAYA 160,10,335.1123318
50054954,HOJAS P/CARP CT KIUT BC 100H,10,123.7955979
50054955,CUADERNO FRAN RY 100H FERRARI,10,84.60620041
50054962,CUADERNO PROF RY 100H KIUT,10,134.8892812
50054963,CUADERNO PROF C5 100H KIUT,10,134.9679293
50054964,CUADERNO PROF C7 100H KIUT,10,135.4599626
50056026,MARCADOR FINO NGO SIGNAL 12 PZ,10,112.4142353
50056274,REP BOL LANCELOT LCBL30 Y BL57,10,55.84824613
50057284,MARCADOR PIZARRON CN 12P NEGRO,10,378
50057286,MARCADOR PIZARRON CN 12P ROJO,10,362.250875
50057288,MARCADOR PIZARRON 12P VERDE,10,345.48
50057490,MARCADOR PERMANENTE AZUL 12 PI,10,561.96
50057492,MARCADOR PERMANENTE BLANCO 12P,10,657.9420393
50057607,LAPICERO THE SHAKER 0.5MM 1PZ,10,246.3908774
50057610,BOLIGRAFO BPS FINO SURT 2MAS1,10,55.45941324
50057838,MARCADOR CRAYON IND AMA DIXON.,10,17.6568
50058146,MARC PERM JUMBO PILOT SC6600R.,10,92.7226474
50059188,BOLIGRAFO EASYT MD SURTIDO 3PZ,10,69.82389181
50059376,CUADERNO PROF C7 160H KIUT 5M,10,342.1780754
50059379,CUADERNO RY 50H MI PRIMER    .,10,109.1529619
50059380,HOJAS P/CARP CT JB REV RY 100H,10,118.634807
50059864,CUADERNO PROF MIX 100H CLASIC,10,73.19576905
50060449,LIBRETA POCKET NEGRA RY 96 H,10,183.4137624
50060450,LIBRETA FRAN NEGRA RAYA 120H,10,293.6460878
50060451,LIBRETA FRANC COLOR RAYA 120,10,327.4655665
50060452,LIBRETA POCKET COLOR RY 96,10,183.4420262
50061329,CRAYONES TRIANG CRAYOLA 24PZ,10,126.3369382
50061330,CRAYONES TRIANG CRAYOLA 12PZ,10,65.7291503
50061463,BLOCK ESP TAQ C CLASI  RY 100H,10,52.73866593
50061522,MARCATEXTOS VISION PLUS AMA 2 PZS,10,40.53
50061524,MARCATEXTOS VISON MINI SUR 4PZ,10,39.25184224
50061528,MARCADOR AQUARELO GRIP 12PZ,10,177.6223325
50061529,Marcador Magis Colores Grip 4P,10,112.7173216
50061530,SACAPUNTAS MET 2 ORI MAPED,10,32.92041978
50061612,PUNTILLA HB 0.5 ZEBRA 2PZ C/12,10,34.89022633
50061616,LAPICERO ZEBRA 2AMARILLO 5PZS,10,55.19258147
50061618,LAPICERO RETRAC M301 .5MM,10,82.72706293
50061621,BOLIGRAFO MINI ZGRIP 3PZ,10,48.69736559
50061667,MARCATEXTOS BRITE BL 50012772,10,63.5031531
50061999,MARCATEXTOS MINI COLORES OMX,10,7.504018541
50062063,MARCATEXTOS SURT CINCEL 6P OMX,10,50.6505297
50062064,BOLIGRAFO ROLLER 0.7FIN COLOMX,10,52.06852395
50062065,BOLIGRAFO ROLLER 0.7FIN NG OMX,10,52.50404631
50062066,BOLIGRAFO GEL 0.7 SURT 6P OMX,10,39.24486502
50062067,BOL GEL 0.7 NGO 6P OMX PK,10,37.17
50062069,BOLIGRAFO GEL RETRC NG MED OMX,10,48.25830322
50062072,MARCADOR PERM CINCEL NG 4P OMX,10,42.98468459
50062075,Marcador P/Piz Surt OMX  4pz,10,41.72475356
